id,description,price,address,URL,lat,lng,agency,bus_stop_code,dist
187925,"kerrostalo, 47, 5 m2 | 2h + avok + kph + lasitettu p",990.0,"Helsinki, Kalasatama, Parrulaituri 16 C",http://www.vuokraovi.com//vuokra-asunto/helsinki/kalasatama/kerrostalo/kaksio/187925,60.18371500000001,24.9757756,Vuokraturva Oy LKV [A],0,0
187924,"kerrostalo, 43 m2 | 1h + avok + kph + vh + lasitet",938.0,"Espoo, Leppavaara, Leppavaarankatu 12 as 29",http://www.vuokraovi.com//vuokra-asunto/espoo/leppavaara/kerrostalo/yksio/187924,60.2169587,24.8096488,Vuokraturva Oy LKV [A],2112201,111
187924,"kerrostalo, 43 m2 | 1h + avok + kph + vh + lasitet",938.0,"Espoo, Leppavaara, Leppavaarankatu 12 as 29",http://www.vuokraovi.com//vuokra-asunto/espoo/leppavaara/kerrostalo/yksio/187924,60.2169587,24.8096488,Vuokraturva Oy LKV [A],2112202,111
187924,"kerrostalo, 43 m2 | 1h + avok + kph + vh + lasitet",938.0,"Espoo, Leppavaara, Leppavaarankatu 12 as 29",http://www.vuokraovi.com//vuokra-asunto/espoo/leppavaara/kerrostalo/yksio/187924,60.2169587,24.8096488,Vuokraturva Oy LKV [A],2112204,155
187924,"kerrostalo, 43 m2 | 1h + avok + kph + vh + lasitet",938.0,"Espoo, Leppavaara, Leppavaarankatu 12 as 29",http://www.vuokraovi.com//vuokra-asunto/espoo/leppavaara/kerrostalo/yksio/187924,60.2169587,24.8096488,Vuokraturva Oy LKV [A],2112232,172
187924,"kerrostalo, 43 m2 | 1h + avok + kph + vh + lasitet",938.0,"Espoo, Leppavaara, Leppavaarankatu 12 as 29",http://www.vuokraovi.com//vuokra-asunto/espoo/leppavaara/kerrostalo/yksio/187924,60.2169587,24.8096488,Vuokraturva Oy LKV [A],2112210,194
187924,"kerrostalo, 43 m2 | 1h + avok + kph + vh + lasitet",938.0,"Espoo, Leppavaara, Leppavaarankatu 12 as 29",http://www.vuokraovi.com//vuokra-asunto/espoo/leppavaara/kerrostalo/yksio/187924,60.2169587,24.8096488,Vuokraturva Oy LKV [A],2112296,197
187924,"kerrostalo, 43 m2 | 1h + avok + kph + vh + lasitet",938.0,"Espoo, Leppavaara, Leppavaarankatu 12 as 29",http://www.vuokraovi.com//vuokra-asunto/espoo/leppavaara/kerrostalo/yksio/187924,60.2169587,24.8096488,Vuokraturva Oy LKV [A],2112229,208
187924,"kerrostalo, 43 m2 | 1h + avok + kph + vh + lasitet",938.0,"Espoo, Leppavaara, Leppavaarankatu 12 as 29",http://www.vuokraovi.com//vuokra-asunto/espoo/leppavaara/kerrostalo/yksio/187924,60.2169587,24.8096488,Vuokraturva Oy LKV [A],2111237,233
187924,"kerrostalo, 43 m2 | 1h + avok + kph + vh + lasitet",938.0,"Espoo, Leppavaara, Leppavaarankatu 12 as 29",http://www.vuokraovi.com//vuokra-asunto/espoo/leppavaara/kerrostalo/yksio/187924,60.2169587,24.8096488,Vuokraturva Oy LKV [A],2111236,239
187924,"kerrostalo, 43 m2 | 1h + avok + kph + vh + lasitet",938.0,"Espoo, Leppavaara, Leppavaarankatu 12 as 29",http://www.vuokraovi.com//vuokra-asunto/espoo/leppavaara/kerrostalo/yksio/187924,60.2169587,24.8096488,Vuokraturva Oy LKV [A],2111235,245
187924,"kerrostalo, 43 m2 | 1h + avok + kph + vh + lasitet",938.0,"Espoo, Leppavaara, Leppavaarankatu 12 as 29",http://www.vuokraovi.com//vuokra-asunto/espoo/leppavaara/kerrostalo/yksio/187924,60.2169587,24.8096488,Vuokraturva Oy LKV [A],2111232,266
187924,"kerrostalo, 43 m2 | 1h + avok + kph + vh + lasitet",938.0,"Espoo, Leppavaara, Leppavaarankatu 12 as 29",http://www.vuokraovi.com//vuokra-asunto/espoo/leppavaara/kerrostalo/yksio/187924,60.2169587,24.8096488,Vuokraturva Oy LKV [A],2111234,277
187924,"kerrostalo, 43 m2 | 1h + avok + kph + vh + lasitet",938.0,"Espoo, Leppavaara, Leppavaarankatu 12 as 29",http://www.vuokraovi.com//vuokra-asunto/espoo/leppavaara/kerrostalo/yksio/187924,60.2169587,24.8096488,Vuokraturva Oy LKV [A],2111231,331
187921,"kerrostalo, 86 m2 | 4H+K+S",1265.0,"Helsinki, Vuosaari, Kallvikintie 61",http://www.vuokraovi.com//vuokra-asunto/helsinki/vuosaari/kerrostalo/4h/187921,60.2090745,25.1363283,Lumo / VVO-kotikeskus PKS,1541110,66
187921,"kerrostalo, 86 m2 | 4H+K+S",1265.0,"Helsinki, Vuosaari, Kallvikintie 61",http://www.vuokraovi.com//vuokra-asunto/helsinki/vuosaari/kerrostalo/4h/187921,60.2090745,25.1363283,Lumo / VVO-kotikeskus PKS,1541152,84
187921,"kerrostalo, 86 m2 | 4H+K+S",1265.0,"Helsinki, Vuosaari, Kallvikintie 61",http://www.vuokraovi.com//vuokra-asunto/helsinki/vuosaari/kerrostalo/4h/187921,60.2090745,25.1363283,Lumo / VVO-kotikeskus PKS,1541151,97
187921,"kerrostalo, 86 m2 | 4H+K+S",1265.0,"Helsinki, Vuosaari, Kallvikintie 61",http://www.vuokraovi.com//vuokra-asunto/helsinki/vuosaari/kerrostalo/4h/187921,60.2090745,25.1363283,Lumo / VVO-kotikeskus PKS,1541111,125
187921,"kerrostalo, 86 m2 | 4H+K+S",1265.0,"Helsinki, Vuosaari, Kallvikintie 61",http://www.vuokraovi.com//vuokra-asunto/helsinki/vuosaari/kerrostalo/4h/187921,60.2090745,25.1363283,Lumo / VVO-kotikeskus PKS,1532109,150
187921,"kerrostalo, 86 m2 | 4H+K+S",1265.0,"Helsinki, Vuosaari, Kallvikintie 61",http://www.vuokraovi.com//vuokra-asunto/helsinki/vuosaari/kerrostalo/4h/187921,60.2090745,25.1363283,Lumo / VVO-kotikeskus PKS,1541120,178
187921,"kerrostalo, 86 m2 | 4H+K+S",1265.0,"Helsinki, Vuosaari, Kallvikintie 61",http://www.vuokraovi.com//vuokra-asunto/helsinki/vuosaari/kerrostalo/4h/187921,60.2090745,25.1363283,Lumo / VVO-kotikeskus PKS,1532100,217
187919,"kerrostalo, 15, 6 m2 | 1h, avokeittio, wc, sh",820.0,"Helsinki, Eerikinkatu 31 B",http://www.vuokraovi.com//vuokra-asunto/helsinki/kerrostalo/yksio/187919,60.1649331,24.9285567,Ylinkerros Oy Haaga,1040406,96
187919,"kerrostalo, 15, 6 m2 | 1h, avokeittio, wc, sh",820.0,"Helsinki, Eerikinkatu 31 B",http://www.vuokraovi.com//vuokra-asunto/helsinki/kerrostalo/yksio/187919,60.1649331,24.9285567,Ylinkerros Oy Haaga,1040162,103
187919,"kerrostalo, 15, 6 m2 | 1h, avokeittio, wc, sh",820.0,"Helsinki, Eerikinkatu 31 B",http://www.vuokraovi.com//vuokra-asunto/helsinki/kerrostalo/yksio/187919,60.1649331,24.9285567,Ylinkerros Oy Haaga,1040133,130
187919,"kerrostalo, 15, 6 m2 | 1h, avokeittio, wc, sh",820.0,"Helsinki, Eerikinkatu 31 B",http://www.vuokraovi.com//vuokra-asunto/helsinki/kerrostalo/yksio/187919,60.1649331,24.9285567,Ylinkerros Oy Haaga,1040407,131
